Timestamp,Source IP,Destination IP,Protocol,Length
1740062268.1152208,192.168.1.187,140.82.112.21,TCP,54
1740062268.170513,192.168.0.111,239.255.255.250,UDP,212
1740062269.1970396,192.168.1.233,224.0.0.251,UDP,291
1740062269.2966175,192.168.0.111,239.255.255.250,UDP,212
1740062269.4822178,192.168.1.187,140.82.112.21,TCP,54
1740062270.1159406,192.168.0.111,239.255.255.250,UDP,212
1740062271.1401198,192.168.0.111,239.255.255.250,UDP,212
1740062271.6610477,192.168.1.187,20.195.84.23,TCP,85
1740062271.756828,20.195.84.23,192.168.1.187,TCP,54
1740062272.2222106,192.168.1.187,140.82.112.21,TCP,54
1740062272.369165,192.168.1.198,224.0.0.251,UDP,103
1740062274.2156343,20.195.84.23,192.168.1.187,TCP,81
1740062274.2602656,192.168.1.187,20.195.84.23,TCP,54
1740062275.0309305,192.168.1.198,224.0.0.22,Other,54
1740062275.0349753,192.168.1.1,224.0.0.251,Other,50
1740062275.0694983,192.168.1.187,224.0.0.22,Other,54
1740062275.3381217,192.168.1.198,224.0.0.22,Other,54
1740062275.3411868,192.168.1.175,224.0.0.22,Other,54
1740062275.4411635,192.168.1.198,224.0.0.22,Other,54
1740062275.4447525,192.168.1.225,224.0.0.22,Other,54
1740062275.4480882,192.168.1.198,224.0.0.251,UDP,103
1740062275.452949,192.168.1.159,224.0.0.22,Other,54
1740062275.544412,192.168.1.198,224.0.0.22,Other,54
1740062276.3620996,192.168.1.198,224.0.0.251,UDP,103
1740062276.566651,192.168.1.1,224.0.0.251,Other,50
1740062276.8743002,192.168.1.175,224.0.0.22,Other,54
1740062276.9784932,192.168.1.225,224.0.0.22,Other,54
1740062277.0602076,192.168.1.187,224.0.0.22,Other,54
1740062277.0791287,192.168.1.159,224.0.0.22,Other,54
1740062277.386173,192.168.1.198,224.0.0.22,Other,54
1740062277.3900857,192.168.1.198,224.0.0.251,UDP,103
1740062277.6869082,192.168.1.187,140.82.112.21,TCP,54
1740062277.8470852,192.168.1.187,142.251.12.188,TCP,55
1740062278.002213,142.251.12.188,192.168.1.187,TCP,66
1740062278.308627,192.168.1.198,224.0.0.251,UDP,103
1740062279.3329585,192.168.1.198,224.0.0.251,UDP,103
1740062280.3569477,192.168.1.198,224.0.0.251,UDP,103
1740062281.177071,192.168.1.1,239.255.255.250,UDP,312
1740062281.181075,192.168.1.1,239.255.255.250,UDP,324
1740062281.1848426,192.168.1.1,239.255.255.250,UDP,384
1740062281.191665,192.168.1.1,239.255.255.250,UDP,300
1740062281.196134,192.168.1.1,239.255.255.250,UDP,348
1740062281.2027304,192.168.1.1,239.255.255.250,UDP,320
1740062281.2073944,192.168.1.1,239.255.255.250,UDP,378
1740062281.212994,192.168.1.1,239.255.255.250,UDP,376
1740062281.2180934,192.168.1.1,239.255.255.250,UDP,380
1740062281.2779963,192.168.1.1,239.255.255.250,UDP,372
1740062282.5794957,192.168.1.187,20.195.84.23,TCP,82
1740062282.7125435,20.195.84.23,192.168.1.187,TCP,54
1740062284.0439754,157.240.7.53,192.168.1.187,TCP,106
1740062284.0900505,192.168.1.187,157.240.7.53,TCP,54
1740062286.66195,192.168.1.187,20.195.84.23,TCP,85
1740062286.8075917,20.195.84.23,192.168.1.187,TCP,54
1740062287.2175784,192.168.1.1,192.168.1.255,UDP,369
1740062287.4208963,192.168.1.187,140.82.112.21,TCP,66
1740062287.6833675,192.168.1.187,140.82.112.21,TCP,66
1740062287.7049508,140.82.112.21,192.168.1.187,TCP,66
1740062287.7094102,192.168.1.187,140.82.112.21,TCP,54
1740062287.7131732,192.168.1.187,140.82.112.21,TCP,1490
1740062287.7176018,192.168.1.187,140.82.112.21,TCP,491
1740062288.0365095,192.168.0.107,239.255.255.250,UDP,179
1740062288.0492125,140.82.112.21,192.168.1.187,TCP,54
1740062288.05381,140.82.112.21,192.168.1.187,TCP,1490
1740062288.0595417,140.82.112.21,192.168.1.187,TCP,1490
1740062288.0634053,140.82.112.21,192.168.1.187,TCP,1244
1740062288.0672598,140.82.112.21,192.168.1.187,TCP,66
1740062288.0714948,192.168.1.187,140.82.112.21,TCP,54
1740062288.076332,192.168.1.187,140.82.112.21,TCP,54
1740062288.080805,192.168.1.187,140.82.112.21,TCP,118
1740062288.085528,192.168.1.187,140.82.112.21,TCP,1490
1740062288.0900393,192.168.1.187,140.82.112.21,TCP,427
1740062288.0942864,192.168.1.187,140.82.112.21,TCP,146
1740062288.0988102,192.168.1.187,140.82.112.21,TCP,600
1740062288.1033998,192.168.1.187,140.82.112.21,TCP,1490
1740062288.10798,192.168.1.187,140.82.112.21,TCP,1307
1740062288.4504275,140.82.112.21,192.168.1.187,TCP,133
1740062288.454443,140.82.112.21,192.168.1.187,TCP,133
1740062288.4599233,140.82.112.21,192.168.1.187,TCP,118
1740062288.4663498,140.82.112.21,192.168.1.187,TCP,54
1740062288.4715197,140.82.112.21,192.168.1.187,TCP,54
1740062288.4758458,140.82.112.21,192.168.1.187,TCP,54
1740062288.4800024,192.168.1.187,140.82.112.21,TCP,54
1740062288.4856791,140.82.112.21,192.168.1.187,TCP,102
1740062288.4896786,140.82.112.21,192.168.1.187,TCP,532
1740062288.4938345,140.82.112.21,192.168.1.187,TCP,54
1740062288.4969256,140.82.112.21,192.168.1.187,TCP,1490
1740062288.5046113,140.82.112.21,192.168.1.187,TCP,1490
1740062288.5083933,140.82.112.21,192.168.1.187,TCP,1244
1740062288.5127237,192.168.1.187,140.82.112.21,TCP,54
1740062288.5164835,192.168.1.187,140.82.112.21,TCP,54
1740062288.5217006,192.168.1.187,140.82.112.21,TCP,85
1740062288.525014,192.168.1.187,140.82.112.21,TCP,118
1740062288.5295928,192.168.1.187,192.168.1.1,TCP,66
1740062288.534138,192.168.1.187,192.168.1.1,TCP,66
1740062288.539612,192.168.1.1,192.168.1.187,TCP,58
1740062288.5441215,192.168.1.187,192.168.1.1,TCP,54
1740062288.5478709,192.168.1.187,192.168.1.1,TCP,56
1740062288.55459,192.168.1.187,192.168.1.1,TCP,82
1740062288.5582907,192.168.1.1,192.168.1.187,TCP,58
1740062288.5623827,192.168.1.187,192.168.1.1,TCP,54
1740062288.566152,192.168.1.187,192.168.1.1,TCP,56
1740062288.5717807,192.168.1.187,192.168.1.1,TCP,82
1740062288.5756366,192.168.1.1,192.168.1.187,TCP,54
1740062288.5787218,192.168.1.1,192.168.1.187,TCP,54
1740062288.5879364,192.168.1.1,192.168.1.187,TCP,348
1740062288.5929935,192.168.1.187,192.168.1.1,TCP,54
1740062288.597226,192.168.1.1,192.168.1.187,TCP,54
1740062288.6024384,192.168.1.1,192.168.1.187,TCP,54
1740062288.6194105,192.168.1.1,192.168.1.187,TCP,357
1740062288.624257,192.168.1.187,192.168.1.1,TCP,54
1740062288.6291676,192.168.1.187,142.250.195.110,UDP,1292
1740062288.634472,192.168.1.187,142.250.195.110,UDP,1292
1740062288.6392822,192.168.1.187,142.250.195.110,UDP,1292
1740062288.6429458,192.168.1.187,142.250.195.110,UDP,124
1740062288.646663,192.168.1.1,192.168.1.187,TCP,54
1740062288.6516285,192.168.1.187,192.168.1.1,TCP,54
1740062288.6572468,192.168.1.1,192.168.1.187,TCP,54
1740062288.6614697,192.168.1.187,192.168.1.1,TCP,54
1740062288.6660562,142.250.195.110,192.168.1.187,UDP,82
1740062288.6724503,142.250.195.110,192.168.1.187,UDP,82
1740062288.677695,142.250.195.110,192.168.1.187,UDP,1292
1740062288.682017,142.250.195.110,192.168.1.187,UDP,1292
1740062288.687664,142.250.195.110,192.168.1.187,UDP,1292
1740062288.6924348,142.250.195.110,192.168.1.187,UDP,340
1740062288.6958563,142.250.195.110,192.168.1.187,UDP,976
1740062288.7007542,142.250.195.110,192.168.1.187,UDP,67
1740062288.707346,192.168.1.187,142.250.195.110,UDP,1292
1740062288.7120602,192.168.1.187,142.250.195.110,UDP,73
1740062288.7161927,192.168.1.187,142.250.195.110,UDP,872
1740062288.7211509,192.168.1.187,140.82.112.21,TCP,54
1740062288.7252133,142.250.195.110,192.168.1.187,UDP,162
1740062288.7283895,142.250.195.110,192.168.1.187,UDP,71
1740062288.7320004,142.250.195.110,192.168.1.187,UDP,606
1740062288.738346,142.250.195.110,192.168.1.187,UDP,63
1740062288.7418845,192.168.1.187,142.250.195.110,UDP,74
1740062288.7455783,192.168.1.187,142.250.195.110,UDP,77
1740062288.7548974,142.250.195.110,192.168.1.187,UDP,66
1740062288.7773476,140.82.112.21,192.168.1.187,TCP,54
1740062288.809167,140.82.112.21,192.168.1.187,TCP,133
1740062288.8149707,140.82.112.21,192.168.1.187,TCP,133
1740062288.821272,192.168.1.187,140.82.112.21,TCP,54
1740062288.8563392,192.168.1.187,20.207.73.85,TCP,66
1740062288.861822,192.168.1.187,140.82.112.21,TCP,126
1740062288.868403,192.168.1.187,140.82.112.21,TCP,1490
1740062288.8736672,192.168.1.187,140.82.112.21,TCP,1307
1740062288.8860416,20.207.73.85,192.168.1.187,TCP,66
1740062288.8946688,192.168.1.187,20.207.73.85,TCP,54
1740062288.903317,192.168.1.187,20.207.73.85,TCP,1490
1740062288.9175336,192.168.1.187,20.207.73.85,TCP,485
1740062288.9524846,192.168.1.187,20.207.73.85,TCP,1490
1740062288.958814,20.207.73.85,192.168.1.187,TCP,54
1740062288.9707494,20.207.73.85,192.168.1.187,TCP,1490
1740062288.9786963,20.207.73.85,192.168.1.187,TCP,1490
1740062288.9867053,20.207.73.85,192.168.1.187,TCP,672
1740062288.995463,192.168.1.187,20.207.73.85,TCP,54
1740062289.0047102,192.168.1.187,20.207.73.85,TCP,118
1740062289.0118213,192.168.1.187,20.207.73.85,TCP,146
1740062289.019433,192.168.1.187,20.207.73.85,TCP,600
1740062289.0241346,192.168.1.187,20.207.73.85,TCP,406
1740062289.0291543,20.207.73.85,192.168.1.187,TCP,672
1740062289.0348322,192.168.1.187,20.207.73.85,TCP,66
1740062289.0608318,20.207.73.85,192.168.1.187,TCP,66
1740062289.0640516,20.207.73.85,192.168.1.187,TCP,54
1740062289.069328,20.207.73.85,192.168.1.187,TCP,54
1740062289.074714,20.207.73.85,192.168.1.187,TCP,133
1740062289.0792568,20.207.73.85,192.168.1.187,TCP,133
1740062289.0844357,20.207.73.85,192.168.1.187,TCP,118
1740062289.089964,20.207.73.85,192.168.1.187,TCP,54
1740062289.093839,20.207.73.85,192.168.1.187,TCP,102
1740062289.096918,20.207.73.85,192.168.1.187,TCP,102
1740062289.1025326,192.168.1.187,20.207.73.85,TCP,66
1740062289.105941,192.168.1.187,20.207.73.85,TCP,85
1740062289.1665556,20.207.73.85,192.168.1.187,TCP,54
1740062289.1713624,140.82.112.21,192.168.1.187,TCP,54
1740062289.175227,140.82.112.21,192.168.1.187,TCP,54
1740062289.1790311,140.82.112.21,192.168.1.187,TCP,54
1740062289.18599,140.82.112.21,192.168.1.187,TCP,102
1740062289.1904817,140.82.112.21,192.168.1.187,TCP,531
1740062289.1953418,192.168.1.187,140.82.112.21,TCP,54
1740062289.2662258,20.207.73.85,192.168.1.187,TCP,1024
1740062289.3063312,192.168.1.187,20.207.73.85,TCP,54
1740062290.1875236,20.195.84.23,192.168.1.187,TCP,81
1740062290.231711,192.168.1.187,20.195.84.23,TCP,54
1740062291.0914536,192.168.1.187,20.207.73.85,TCP,131
1740062291.1019137,192.168.1.187,20.207.73.85,TCP,406
1740062291.1075654,192.168.1.187,140.82.112.21,TCP,126
1740062291.1137302,192.168.1.187,140.82.112.21,TCP,1490
1740062291.121204,192.168.1.187,140.82.112.21,TCP,1307
1740062291.138805,20.207.73.85,192.168.1.187,TCP,54
1740062291.1441896,20.207.73.85,192.168.1.187,TCP,54
1740062291.153528,20.207.73.85,192.168.1.187,TCP,102
1740062291.1584208,192.168.1.187,20.207.73.85,TCP,54
1740062291.3143382,20.207.73.85,192.168.1.187,TCP,1023
1740062291.319559,140.82.112.21,192.168.1.187,TCP,54
1740062291.3240707,140.82.112.21,192.168.1.187,TCP,54
1740062291.331197,140.82.112.21,192.168.1.187,TCP,102
1740062291.338221,140.82.112.21,192.168.1.187,TCP,531
1740062291.3433468,192.168.1.187,140.82.112.21,TCP,54
1740062291.4619794,192.168.1.187,20.207.73.85,TCP,54
1740062296.7407174,192.168.1.233,224.0.0.22,Other,54
1740062296.7452354,192.168.1.233,224.0.0.251,UDP,169
1740062296.844426,192.168.1.233,224.0.0.22,Other,54
1740062297.4207585,192.168.1.187,140.82.112.21,TCP,54
1740062297.4319005,192.168.1.187,140.82.112.21,TCP,54
1740062297.435315,192.168.1.187,20.207.73.85,TCP,54
1740062297.5625188,20.207.73.85,192.168.1.187,TCP,78
1740062297.5657668,20.207.73.85,192.168.1.187,TCP,54
1740062297.5688074,192.168.1.187,20.207.73.85,TCP,54
1740062297.663189,192.168.1.233,224.0.0.251,UDP,225
1740062297.765245,140.82.112.21,192.168.1.187,TCP,78
1740062297.7687235,140.82.112.21,192.168.1.187,TCP,54
1740062297.7721589,192.168.1.187,140.82.112.21,TCP,54
1740062297.7780695,140.82.112.21,192.168.1.187,TCP,78
1740062297.7838876,140.82.112.21,192.168.1.187,TCP,54
1740062297.7881863,192.168.1.187,140.82.112.21,TCP,54
1740062297.9736009,192.168.1.233,224.0.0.251,UDP,591
1740062298.5838425,192.168.1.1,224.0.0.252,Other,50
1740062298.8912787,192.168.1.175,224.0.0.22,Other,54
1740062298.9950624,192.168.1.225,224.0.0.22,Other,54
1740062298.9986634,192.168.1.159,224.0.0.22,Other,54
1740062299.006053,192.168.1.233,224.0.0.251,UDP,591
1740062299.052081,192.168.1.187,224.0.0.22,Other,54
1740062300.324605,192.168.1.198,224.0.0.251,UDP,103
1740062301.6665957,192.168.1.187,20.195.84.23,TCP,85
1740062301.761521,20.195.84.23,192.168.1.187,TCP,54
1740062303.151808,192.168.1.187,140.82.112.21,TCP,55
1740062303.6015315,192.168.1.1,239.255.255.250,Other,50
1740062303.910225,192.168.1.199,224.0.0.22,Other,60
1740062303.9136603,192.168.1.175,224.0.0.22,Other,54
1740062303.920773,192.168.1.225,224.0.0.22,Other,54
1740062303.9240608,192.168.1.159,224.0.0.22,Other,54
1740062304.0483975,192.168.1.187,224.0.0.22,Other,54
1740062304.0680747,192.168.1.187,192.168.1.1,UDP,92
1740062304.073499,192.168.1.187,192.168.1.1,UDP,92
1740062304.079872,192.168.1.1,192.168.1.187,UDP,435
1740062304.084969,192.168.1.1,192.168.1.187,UDP,257
1740062304.0889435,192.168.1.187,20.42.73.26,TCP,66
1740062304.1129618,192.168.1.106,224.0.0.251,Other,46
1740062304.2196877,192.168.1.189,224.0.0.22,Other,60
1740062304.3190277,192.168.1.106,224.0.0.251,UDP,100
1740062304.3286374,192.168.1.187,20.42.73.26,TCP,66
1740062304.3403509,20.42.73.26,192.168.1.187,TCP,66
1740062304.3445368,192.168.1.187,20.42.73.26,TCP,54
1740062304.349002,192.168.1.187,20.42.73.26,TCP,1494
1740062304.3539326,192.168.1.187,20.42.73.26,TCP,451
1740062304.394163,192.168.1.187,192.168.1.1,UDP,76
1740062304.4147909,192.168.1.1,192.168.1.187,UDP,490
1740062304.42017,192.168.1.187,23.193.165.43,TCP,66
1740062304.62726,20.42.73.26,192.168.1.187,TCP,66
1740062304.6310737,20.42.73.26,192.168.1.187,TCP,54
1740062304.634776,20.42.73.26,192.168.1.187,TCP,153
1740062304.6397245,23.193.165.43,192.168.1.187,TCP,66
1740062304.6430032,192.168.1.187,20.42.73.26,TCP,54
1740062304.6470938,192.168.1.187,23.193.165.43,TCP,54
1740062304.6503954,192.168.1.187,23.193.165.43,TCP,178
1740062304.655331,192.168.1.187,20.42.73.26,TCP,1494
1740062304.6597524,192.168.1.187,20.42.73.26,TCP,483
1740062304.66372,192.168.1.187,20.42.73.26,TCP,737
1740062304.842652,23.193.165.43,192.168.1.187,TCP,54
1740062304.8463066,23.193.165.43,192.168.1.187,TCP,233
1740062304.8496602,23.193.165.43,192.168.1.187,TCP,54
1740062304.8548937,192.168.1.187,23.193.165.43,TCP,54
1740062304.8593824,20.42.73.26,192.168.1.187,TCP,54
1740062304.863933,20.42.73.26,192.168.1.187,TCP,153
1740062304.867182,192.168.1.187,23.193.165.43,TCP,54
1740062304.871673,20.42.73.26,192.168.1.187,TCP,1494
1740062304.8754137,20.42.73.26,192.168.1.187,TCP,1494
1740062304.878907,20.42.73.26,192.168.1.187,TCP,1494
1740062304.8828497,20.42.73.26,192.168.1.187,TCP,1494
1740062304.8868177,20.42.73.26,192.168.1.187,TCP,701
1740062304.891075,192.168.1.187,20.42.73.26,TCP,54
1740062304.89471,192.168.1.187,20.42.73.26,TCP,769
1740062304.8985777,192.168.1.187,20.42.73.26,TCP,128
1740062304.902622,192.168.1.187,20.42.73.26,TCP,146
1740062304.9066656,192.168.1.187,20.42.73.26,TCP,543
1740062304.910253,192.168.1.187,20.42.73.26,TCP,1494
1740062304.9149892,192.168.1.187,20.42.73.26,TCP,1494
1740062304.9185348,192.168.1.187,20.42.73.26,TCP,1210
1740062305.0367703,23.193.165.43,192.168.1.187,TCP,54
1740062305.0597014,20.42.73.26,192.168.1.187,TCP,1494
1740062305.0653028,20.42.73.26,192.168.1.187,TCP,1494
1740062305.0724225,20.42.73.26,192.168.1.187,TCP,1494
1740062305.075997,20.42.73.26,192.168.1.187,TCP,1494
1740062305.080992,20.42.73.26,192.168.1.187,TCP,701
1740062305.0867028,20.42.73.26,192.168.1.187,TCP,157
1740062305.0901344,20.42.73.26,192.168.1.187,TCP,116
1740062305.0937092,20.42.73.26,192.168.1.187,TCP,66
1740062305.097734,20.42.73.26,192.168.1.187,TCP,85
1740062305.1016731,20.42.73.26,192.168.1.187,TCP,54
1740062305.104909,192.168.1.187,20.42.73.26,TCP,54
1740062305.108847,192.168.1.187,20.42.73.26,TCP,54
1740062305.111989,20.42.73.26,192.168.1.187,TCP,54
1740062305.115506,20.42.73.26,192.168.1.187,TCP,54
1740062305.1194212,192.168.1.187,20.42.73.26,TCP,128
1740062305.1234825,192.168.1.187,20.42.73.26,TCP,85
1740062305.239514,192.168.1.106,224.0.0.251,UDP,100
1740062305.2428217,20.195.84.23,192.168.1.187,TCP,81
1740062305.2723496,20.42.73.26,192.168.1.187,TCP,157
1740062305.2763088,20.42.73.26,192.168.1.187,TCP,116
1740062305.2809134,20.42.73.26,192.168.1.187,TCP,335
1740062305.286307,192.168.1.187,20.42.73.26,TCP,54
1740062305.2901022,192.168.1.187,20.195.84.23,TCP,54
1740062305.3185894,192.168.1.187,20.42.73.26,TCP,54
1740062305.334324,20.42.73.26,192.168.1.187,TCP,54
1740062306.0098405,192.168.1.187,142.250.182.14,UDP,1292
1740062306.0138009,192.168.1.187,142.250.182.14,UDP,1292
1740062306.0186875,192.168.1.187,142.250.182.14,UDP,122
1740062306.1627345,142.250.182.14,192.168.1.187,UDP,82
1740062306.1679282,142.250.182.14,192.168.1.187,UDP,1292
1740062306.175186,142.250.182.14,192.168.1.187,UDP,1292
1740062306.1784513,142.250.182.14,192.168.1.187,UDP,341
1740062306.1840804,142.250.182.14,192.168.1.187,UDP,993
1740062306.188125,142.250.182.14,192.168.1.187,UDP,66
1740062306.1926422,142.250.182.14,192.168.1.187,UDP,66
1740062306.197361,192.168.1.187,142.250.182.14,UDP,120
1740062306.203364,192.168.1.187,142.250.182.14,UDP,73
1740062306.208596,192.168.1.187,142.250.182.14,UDP,1288
1740062306.2126997,192.168.1.187,142.250.182.14,UDP,1269
1740062306.2683885,142.250.182.14,192.168.1.187,UDP,162
1740062306.2717175,142.250.182.14,192.168.1.187,UDP,71
1740062306.2746468,142.250.182.14,192.168.1.187,UDP,67
1740062306.2786033,192.168.1.187,142.250.182.14,UDP,73
1740062306.3748164,142.250.182.14,192.168.1.187,UDP,704
1740062306.3787465,142.250.182.14,192.168.1.187,UDP,76
1740062306.383435,142.250.182.14,192.168.1.187,UDP,132
1740062306.386718,192.168.1.187,142.250.182.14,UDP,77
1740062306.4176643,192.168.1.187,142.250.182.14,UDP,74
1740062306.425955,142.250.182.14,192.168.1.187,UDP,66
1740062308.3124864,192.168.1.106,224.0.0.251,UDP,100
1740062308.3174937,192.168.1.198,224.0.0.251,UDP,103
1740062308.7758353,192.168.1.187,192.168.1.1,TCP,66
1740062308.782397,192.168.1.187,192.168.1.1,TCP,66
1740062308.7867444,192.168.1.1,192.168.1.187,TCP,58
1740062308.7938316,192.168.1.187,192.168.1.1,TCP,54
1740062308.8004537,192.168.1.187,192.168.1.1,TCP,56
1740062308.804859,192.168.1.187,192.168.1.1,TCP,83
1740062308.8089955,192.168.1.1,192.168.1.187,TCP,58
1740062308.814525,192.168.1.187,192.168.1.1,TCP,54
1740062308.8185875,192.168.1.187,192.168.1.1,TCP,56
1740062308.8242054,192.168.1.187,192.168.1.1,TCP,83
1740062308.8303032,192.168.1.1,192.168.1.187,TCP,54
1740062308.8344965,192.168.1.1,192.168.1.187,TCP,54
1740062308.8444104,192.168.1.1,192.168.1.187,TCP,438
1740062308.8492258,192.168.1.1,192.168.1.187,TCP,54
1740062308.854049,192.168.1.1,192.168.1.187,TCP,54
1740062308.8585238,192.168.1.1,192.168.1.187,TCP,146
1740062308.861313,192.168.1.187,192.168.1.1,TCP,54
1740062308.8655293,192.168.1.187,192.168.1.1,TCP,54
1740062308.8705847,192.168.1.187,172.64.155.209,TCP,66
1740062308.8739357,192.168.1.1,192.168.1.187,TCP,54
1740062308.878422,192.168.1.1,192.168.1.187,TCP,54
1740062308.88352,192.168.1.187,192.168.1.1,TCP,54
1740062308.8874838,192.168.1.187,192.168.1.1,TCP,54
1740062308.890847,172.64.155.209,192.168.1.187,TCP,66
1740062308.8945582,192.168.1.187,172.64.155.209,TCP,54
1740062308.89848,192.168.1.187,172.64.155.209,TCP,1454
1740062308.9022892,192.168.1.187,172.64.155.209,TCP,710
1740062308.905189,172.64.155.209,192.168.1.187,TCP,54
1740062308.9085958,172.64.155.209,192.168.1.187,TCP,54
1740062308.9126854,172.64.155.209,192.168.1.187,TCP,1494
1740062308.9169662,172.64.155.209,192.168.1.187,TCP,1494
1740062308.9216442,172.64.155.209,192.168.1.187,TCP,626
1740062308.9257238,192.168.1.187,172.64.155.209,TCP,54
1740062308.9299853,192.168.1.187,172.64.155.209,TCP,118
1740062308.976321,192.168.1.187,172.64.155.209,TCP,146
1740062308.9812272,192.168.1.187,172.64.155.209,TCP,1454
1740062308.991634,192.168.1.187,172.64.155.209,TCP,1454
1740062308.9972713,192.168.1.187,172.64.155.209,TCP,1454
1740062309.0030055,192.168.1.187,172.64.155.209,TCP,1454
1740062309.0079849,192.168.1.187,172.64.155.209,TCP,1041
1740062309.0161347,192.168.1.187,172.64.155.209,TCP,319
1740062309.0215302,172.64.155.209,192.168.1.187,TCP,582
1740062309.0279765,192.168.1.187,172.64.155.209,TCP,85
1740062309.040303,172.64.155.209,192.168.1.187,TCP,85
1740062309.049585,172.64.155.209,192.168.1.187,TCP,54
1740062309.0547562,172.64.155.209,192.168.1.187,TCP,54
1740062309.060333,172.64.155.209,192.168.1.187,TCP,54
1740062309.0642958,192.168.1.187,172.64.155.209,TCP,54
1740062309.0704916,172.64.155.209,192.168.1.187,TCP,54
1740062309.238219,172.64.155.209,192.168.1.187,TCP,672
1740062309.242385,172.64.155.209,192.168.1.187,TCP,89
1740062309.246075,172.64.155.209,192.168.1.187,TCP,85
1740062309.2506783,172.64.155.209,192.168.1.187,TCP,85
1740062309.2538989,192.168.1.187,172.64.155.209,TCP,66
1740062309.3357024,192.168.1.198,224.0.0.251,UDP,103
1740062310.360247,192.168.1.198,224.0.0.251,UDP,103
1740062310.4908323,192.168.1.187,140.82.112.21,TCP,54
1740062312.586896,192.168.1.187,20.195.84.23,TCP,82
1740062312.71505,20.195.84.23,192.168.1.187,TCP,54
1740062313.7047474,192.168.1.187,20.42.73.26,TCP,172
1740062313.7095668,192.168.1.187,20.42.73.26,TCP,1494
1740062313.7150996,192.168.1.187,20.42.73.26,TCP,684
1740062314.0473588,20.42.73.26,192.168.1.187,TCP,54
1740062314.0523446,20.42.73.26,192.168.1.187,TCP,153
1740062314.057035,192.168.1.187,20.42.73.26,TCP,89
1740062314.3538885,20.42.73.26,192.168.1.187,TCP,54
